1위	Square (2017)
2위	Blueming
3위	METEOR
4위	아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)
5위	Love poem
6위	Into the Unknown
7위	HIP
8위	어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
9위	늦은 밤 너의 집 앞 골목길에서
10위	흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
11위	안녕
12위	Show Yourself
13위	사랑이란 멜로는 없어
14위	시간의 바깥
15위	Santa Tell Me
16위	숨겨진 세상 (Into the Unknown End Credit Version) (“겨울왕국 2”)
17위	오늘도 빛나는 너에게 (To You My Light) (Feat. 이라온)
18위	조금 취했어 (Prod. 2soo)
19위	All I Want For Christmas Is You
20위	불티 (Spark)
21위	첫 겨울이니까
22위	시든 꽃에 물을 주듯
23위	니 소식
24위	포장마차
25위	Feel Special
26위	나의 오랜 연인에게
27위	십이월 이십오일의 고백
28위	2002
29위	있어줘요
30위	Popo (How deep is our love?)
31위	워커홀릭
32위	너를 만나
33위	bad guy
34위	새 사랑
35위	기억해줘요 내 모든 날과 그때를
36위	작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
37위	다시는 사랑하지 않고, 이별에 아파하기 싫어
38위	LION
39위	가을밤 떠난 너
40위	인기 (Feat. 송가인, 챈슬러)
41위	사랑에 연습이 있었다면 (Prod. 2soo)
42위	헤어져줘서 고마워
43위	Snowman
44위	너에게 못했던 내 마지막 말은
45위	Señorita
46위	모든 날, 모든 순간 (Every day, Every Moment)
47위	Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS)
48위	사계 (Four Seasons)
49위	비가 내리는 날에는
50위	그대라는 시
